frequency,delayrising,delayfalling
479,619.8928608815821,7.663143845548902e6
480,619.8847096482502,7.66320639441745e6
481,619.8765586625141,7.663268935533497e6
482,619.8684079243737,7.663331468897527e6
483,619.8602574338291,7.663393994510028e6
484,619.8521071908802,7.663456512371482e6
485,619.8439571955272,7.6635190224823775e6
486,619.8358074477699,7.663581524843197e6
487,619.8276579476083,7.663644019454428e6
488,619.8195086950424,7.663706506316556e6
489,619.8113596900723,7.663768985430064e6
490,619.803210932698,7.663831456795438e6
491,619.7950624229194,7.663893920413165e6
492,619.7869141607365,7.663956376283729e6
493,619.7787661461495,7.664018824407617e6
494,619.7706183791581,7.664081264785311e6
495,619.7624708597625,7.664143697417299e6
496,619.7543235879627,7.664206122304066e6
497,619.7461765637586,7.664268539446097e6
498,619.7380297871504,7.664330948843877e6
499,619.7298832581378,7.664393350497892e6
500,619.7217369767209,7.664455744408626e6
501,619.7135909428998,7.664518130576566e6
502,619.7054451566745,7.664580509002197e6
503,619.697299618045,7.664642879686004e6
504,619.6891543270111,7.664705242628471e6
505,619.6810092835731,7.664767597830085e6
506,619.6728644877309,7.664829945291331e6
507,619.6647199394843,7.664892285012695e6
508,619.6565756388335,7.66495461699466e6
509,619.6484315857784,7.665016941237715e6
510,619.6402877803191,7.665079257742342e6
511,619.6321442224556,7.665141566509027e6
512,619.6240009121877,7.665203867538257e6
513,619.6158578495158,7.665266160830515e6
514,619.6077150344395,7.665328446386289e6
515,619.5995724669589,7.665390724206062e6
516,619.5914301470741,7.66545299429032e6
517,619.5832880747852,7.6655152566395495e6
518,619.5751462500918,7.665577511254234e6
519,619.5670046729944,7.66563975813486e6
520,619.5588633434926,7.665701997281912e6
521,619.5507222615865,7.665764228695876e6
522,619.5425814272762,7.665826452377237e6
523,619.5344408405617,7.665888668326481e6
524,619.526300501443,7.665950876544093e6
525,619.51816040992,7.666013077030557e6
526,619.5100205659927,7.666075269786361e6
527,619.5018809696612,7.6661374548119875e6
528,619.4937416209254,7.666199632107924e6
529,619.4856025197854,7.666261801674655e6
530,619.4774636662412,7.666323963512665e6
531,619.4693250602927,7.666386117622441e6
532,619.4611867019399,7.666448264004466e6
533,619.453048591183,7.666510402659228e6
534,619.4449107280217,7.666572533587211e6
535,619.4367731124562,7.6666346567889e6
536,619.4286357444865,7.6666967722647805e6
537,619.4204986241125,7.666758880015339e6
538,619.4123617513343,7.666820980041059e6
539,619.4042251261518,7.6668830723424265e6
540,619.3960887485651,7.666945156919928e6
541,619.3879526185741,7.667007233774047e6
542,619.3798167361789,7.667069302905271e6
543,619.3716811013794,7.667131364314083e6
544,619.3635457141758,7.667193418000969e6
545,619.3554105745677,7.667255463966415e6
546,619.3472756825555,7.667317502210907e6
547,619.3391410381391,7.667379532734929e6
548,619.3310066413184,7.667441555538966e6
549,619.3228724920934,7.667503570623504e6
550,619.3147385904642,7.667565577989029e6
551,619.3066049364307,7.667627577636025e6
552,619.2984715299931,7.667689569564979e6
553,619.2903383711512,7.667751553776374e6
554,619.282205459905,7.667813530270698e6
555,619.2740727962545,7.667875499048433e6
556,619.2659403801998,7.667937460110068e6
557,619.2578082117409,7.667999413456086e6
558,619.2496762908777,7.668061359086973e6
559,619.2415446176102,7.668123297003214e6
560,619.2334131919386,7.668185227205295e6
561,619.2252820138626,7.668247149693701e6
562,619.2171510833824,7.668309064468917e6
563,619.209020400498,7.668370971531429e6
564,619.2008899652094,7.668432870881721e6
